Order,Family,Subfamily,Tribe,Common_name,Binomial,Genus,IUCN_2023,Synonyms
SULIFORMES,Phalacrocoracidae,NA,NA,Red-legged Cormorant,Poikilocarbo gaimardi,Poikilocarbo,NT,Phalacrocorax gaimardi
SULIFORMES,Phalacrocoracidae,NA,NA,Rock Shag,Leucocarbo magellanicus,Leucocarbo,LC,Phalacrocorax magellanicus
SULIFORMES,Phalacrocoracidae,NA,NA,Guanay Cormorant,Leucocarbo bougainvilliorum,Leucocarbo,NT,Phalacrocorax bougainvilliorum
SULIFORMES,Phalacrocoracidae,NA,NA,Imperial Shag,Leucocarbo atriceps,Leucocarbo,LC,Phalacrocorax atriceps
SULIFORMES,Phalacrocoracidae,NA,NA,Kerguelen Islands Shag,Leucocarbo verrucosus,Leucocarbo,LC,Phalacrocorax verrucosus
SULIFORMES,Phalacrocoracidae,NA,NA,Rough-faced Shag,Leucocarbo carunculatus,Leucocarbo,VU,Phalacrocorax carunculatus
SULIFORMES,Phalacrocoracidae,NA,NA,Stewart Island Shag,Leucocarbo chalconotus,Leucocarbo,VU,Phalacrocorax chalconotus
SULIFORMES,Phalacrocoracidae,NA,NA,Chatham Islands Shag,Leucocarbo onslowi,Leucocarbo,CR,Phalacrocorax onslowi
SULIFORMES,Phalacrocoracidae,NA,NA,Campbell Island Shag,Leucocarbo campbelli,Leucocarbo,VU,Phalacrocorax campbelli
SULIFORMES,Phalacrocoracidae,NA,NA,Bounty Islands Shag,Leucocarbo ranfurlyi,Leucocarbo,VU,Phalacrocorax ranfurlyi
SULIFORMES,Phalacrocoracidae,NA,NA,Auckland Islands Shag,Leucocarbo colensoi,Leucocarbo,VU,Phalacrocorax colensoi
SULIFORMES,Phalacrocoracidae,NA,NA,Double-crested Cormorant,Nannopterum auritum,Nannopterum,LC,Phalacrocorax auritus
SULIFORMES,Phalacrocoracidae,NA,NA,Neotropical Cormorant,Nannopterum brasilianum,Nannopterum,LC,Phalacrocorax brasilianus
SULIFORMES,Phalacrocoracidae,NA,NA,Flightless Cormorant,Nannopterum harrisi,Nannopterum,VU,Phalacrocorax harrisi
SULIFORMES,Phalacrocoracidae,NA,NA,Brandt's Cormorant,Urile penicillatus,Urile,LC,Phalacrocorax penicillatus
SULIFORMES,Phalacrocoracidae,NA,NA,Pelagic Cormorant,Urile pelagicus,Urile,LC,Phalacrocorax pelagicus
SULIFORMES,Phalacrocoracidae,NA,NA,Red-faced Cormorant,Urile urile,Urile,LC,Phalacrocorax urile
SULIFORMES,Phalacrocoracidae,NA,NA,Spectacled Cormorant,Urile perspicillatus,Urile,EX,Phalacrocorax perspicillatus
SULIFORMES,Phalacrocoracidae,NA,NA,European Shag,Gulosus aristotelis,Gulosus,LC,Phalacrocorax aristotelis
SULIFORMES,Phalacrocoracidae,NA,NA,Great Cormorant,Phalacrocorax carbo,Phalacrocorax,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Japanese Cormorant,Phalacrocorax capillatus,Phalacrocorax,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Cape Cormorant,Phalacrocorax capensis,Phalacrocorax,EN,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Socotra Cormorant,Phalacrocorax nigrogularis,Phalacrocorax,VU,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Bank Cormorant,Phalacrocorax neglectus,Phalacrocorax,EN,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Indian Cormorant,Phalacrocorax fuscicollis,Phalacrocorax,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Little Black Cormorant,Phalacrocorax sulcirostris,Phalacrocorax,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Black-faced Cormorant,Phalacrocorax fuscescens,Phalacrocorax,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Great Pied Cormorant,Phalacrocorax varius,Phalacrocorax,LC,NA
SULIFORMES,Phalacrocoracidae,NA,NA,Spotted Shag,Phalacrocorax punctatus,Phalacrocorax,LC,Stictocarbo punctatus
SULIFORMES,Phalacrocoracidae,NA,NA,Pitt Island Shag,Phalacrocorax featherstoni,Phalacrocorax,EN,NA
CHARADRIIFORMES,Scolopacidae,Tringinae,Phalaropodini,Wilson's Phalarope,Steganopus tricolor,Steganopus,LC,Phalaropus tricolor
CHARADRIIFORMES,Scolopacidae,Tringinae,Phalaropodini,Red-necked Phalarope,Phalaropus lobatus,Phalaropus,LC,NA
CHARADRIIFORMES,Scolopacidae,Tringinae,Phalaropodini,Red Phalarope,Phalaropus fulicarius,Phalaropus,LC,Phalaropus fulicaria
CHARADRIIFORMES,Laridae,Anoinae,NA,Brown Noddy,Anous stolidus,Anous,LC,NA
CHARADRIIFORMES,Laridae,Anoinae,NA,Lesser Noddy,Anous tenuirostris,Anous,LC,NA
CHARADRIIFORMES,Laridae,Anoinae,NA,Black Noddy,Anous minutus,Anous,LC,NA
CHARADRIIFORMES,Laridae,Anoinae,NA,Blue Noddy,Anous ceruleus,Anous,LC,Procelsterna cerulea
CHARADRIIFORMES,Laridae,Anoinae,NA,Grey Noddy,Anous albivittus,Anous,LC,Procelsterna albivitta
CHARADRIIFORMES,Laridae,Gyginae,NA,Atlantic White Tern,Gygis alba,Gygis,LC,NA
CHARADRIIFORMES,Laridae,Gyginae,NA,Common White Tern,Gygis candida,Gygis,LC,NA
CHARADRIIFORMES,Laridae,Gyginae,NA,Little White Tern,Gygis microrhyncha,Gygis,LC,NA
CHARADRIIFORMES,Laridae,Rynchopinae,NA,Black Skimmer,Rynchops niger,Rynchops,LC,Rhynchops niger
CHARADRIIFORMES,Laridae,Rynchopinae,NA,African Skimmer,Rynchops flavirostris,Rynchops,LC,NA
CHARADRIIFORMES,Laridae,Rynchopinae,NA,Indian Skimmer,Rynchops albicollis,Rynchops,EN,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Saunders's Gull,Saundersilarus saundersi,Saundersilarus,VU,Larus saundersi
CHARADRIIFORMES,Laridae,Larinae,NA,Little Gull,Hydrocoloeus minutus,Hydrocoloeus,LC,Larus minutus
CHARADRIIFORMES,Laridae,Larinae,NA,Ross's Gull,Rhodostethia rosea,Rhodostethia,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Swallow-tailed Gull,Creagrus furcatus,Creagrus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Sabine's Gull,Xema sabini,Xema,LC,Larus sabini
CHARADRIIFORMES,Laridae,Larinae,NA,Ivory Gull,Pagophila eburnea,Pagophila,NT,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Red-legged Kittiwake,Rissa brevirostris,Rissa,VU,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Black-legged Kittiwake,Rissa tridactyla,Rissa,VU,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Bonaparte's Gull,Larus philadelphia,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Slender-billed Gull,Larus genei,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Brown-headed Gull,Larus brunnicephalus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Black-headed Gull,Larus ridibundus,Larus,LC,Chroicocephalus ridibundus
CHARADRIIFORMES,Laridae,Larinae,NA,Andean Gull,Larus serranus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Brown-hooded Gull,Larus maculipennis,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Hartlaub's Gull,Larus hartlaubii,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Grey-headed Gull,Larus cirrocephalus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Silver Gull,Larus novaehollandiae,Larus,LC,Larus scopulinus
CHARADRIIFORMES,Laridae,Larinae,NA,Black-billed Gull,Larus bulleri,Larus,NT,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Grey Gull,Larus modestus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Dolphin Gull,Larus scoresbii,Larus,LC,Larus scoresbii; Gabianus scoresbii; Leucophaeus scoresbii
CHARADRIIFORMES,Laridae,Larinae,NA,Franklin's Gull,Larus pipixcan,Larus,LC,Leucophaeus pipixcan
CHARADRIIFORMES,Laridae,Larinae,NA,Laughing Gull,Larus atricilla,Larus,LC,Leucophaeus atricilla
CHARADRIIFORMES,Laridae,Larinae,NA,Lava Gull,Larus fuliginosus,Larus,VU,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Pallas's Gull,Larus ichthyaetus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Relict Gull,Larus relictus,Larus,VU,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Mediterranean Gull,Larus melanocephalus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Sooty Gull,Larus hemprichii,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,White-eyed Gull,Larus leucophthalmus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Audouin's Gull,Larus audouinii,Larus,VU,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Heermann's Gull,Larus heermanni,Larus,NT,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Pacific Gull,Larus pacificus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Black-tailed Gull,Larus crassirostris,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Belcher's Gull,Larus belcheri,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Olrog's Gull,Larus atlanticus,Larus,NT,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Ring-billed Gull,Larus delawarensis,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Mew Gull,Larus canus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Yellow-footed Gull,Larus livens,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Western Gull,Larus occidentalis,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,California Gull,Larus californicus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Kelp Gull,Larus dominicanus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Lesser Black-backed Gull,Larus fuscus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,European Herring Gull,Larus argentatus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Armenian Gull,Larus armenicus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Yellow-legged Gull,Larus michahellis,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Caspian Gull,Larus cachinnans,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Arctic Herring Gull,Larus smithsonianus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Iceland Gull,Larus glaucoides,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Slaty-backed Gull,Larus schistisagus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Glaucous-winged Gull,Larus glaucescens,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Glaucous Gull,Larus hyperboreus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Larinae,NA,Great Black-backed Gull,Larus marinus,Larus,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Aleutian Tern,Onychoprion aleuticus,Onychoprion,VU,Onychoprion aleuticus; Sterna aleutica
CHARADRIIFORMES,Laridae,Sterninae,NA,Sooty Tern,Onychoprion fuscatus,Onychoprion,LC,Onychoprion fuscatus; Sterna fuscata
CHARADRIIFORMES,Laridae,Sterninae,NA,Bridled Tern,Onychoprion anaethetus,Onychoprion,LC,Onychoprion anaethetus; Sterna anaethetus
CHARADRIIFORMES,Laridae,Sterninae,NA,Grey-backed Tern,Onychoprion lunatus,Onychoprion,LC,Onychoprion lunatus; Sterna lunata
CHARADRIIFORMES,Laridae,Sterninae,NA,Little Tern,Sternula albifrons,Sternula,LC,Sternula albifrons; Sterna albifrons
CHARADRIIFORMES,Laridae,Sterninae,NA,Saunders's Tern,Sternula saundersi,Sternula,LC,Sterna saundersi
CHARADRIIFORMES,Laridae,Sterninae,NA,Least Tern,Sternula antillarum,Sternula,LC,Sternula antillarum; Sterna antillarum
CHARADRIIFORMES,Laridae,Sterninae,NA,Yellow-billed Tern,Sternula superciliaris,Sternula,LC,Sternula superciliaris; Sterna superciliaris
CHARADRIIFORMES,Laridae,Sterninae,NA,Peruvian Tern,Sternula lorata,Sternula,EN,Sterna lorata
CHARADRIIFORMES,Laridae,Sterninae,NA,Fairy Tern,Sternula nereis,Sternula,VU,Sterna nereis
CHARADRIIFORMES,Laridae,Sterninae,NA,Damara Tern,Sternula balaenarum,Sternula,LC,Sterna balaenarum
CHARADRIIFORMES,Laridae,Sterninae,NA,Large-billed Tern,Phaetusa simplex,Phaetusa,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Common Gull-billed Tern,Gelochelidon nilotica,Gelochelidon,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Australian Gull-billed Tern,Gelochelidon macrotarsa,Gelochelidon,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Caspian Tern,Hydroprogne caspia,Hydroprogne,LC,Hydroprogne caspia; Sterna caspia
CHARADRIIFORMES,Laridae,Sterninae,NA,Inca Tern,Larosterna inca,Larosterna,NT,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Black-fronted Tern,Chlidonias albostriatus,Chlidonias,EN,Sterna albostriata; Chlidonias albostriatus; Hydrochelidon albostriata
CHARADRIIFORMES,Laridae,Sterninae,NA,Whiskered Tern,Chlidonias hybrida,Chlidonias,LC,Chlidonias hybridus
CHARADRIIFORMES,Laridae,Sterninae,NA,White-winged Tern,Chlidonias leucopterus,Chlidonias,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Black Tern,Chlidonias niger,Chlidonias,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,River Tern,Sterna aurantia,Sterna,VU,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Roseate Tern,Sterna dougallii,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,White-fronted Tern,Sterna striata,Sterna,NT,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Black-naped Tern,Sterna sumatrana,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,South American Tern,Sterna hirundinacea,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Common Tern,Sterna hirundo,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,White-cheeked Tern,Sterna repressa,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Arctic Tern,Sterna paradisaea,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Antarctic Tern,Sterna vittata,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Kerguelen Tern,Sterna virgata,Sterna,NT,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Forster's Tern,Sterna forsteri,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Snowy-crowned Tern,Sterna trudeaui,Sterna,LC,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Black-bellied Tern,Sterna acuticauda,Sterna,EN,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,Lesser Crested Tern,Thalasseus bengalensis,Thalasseus,LC,Thalasseus bengalensis; Sterna bengalensis
CHARADRIIFORMES,Laridae,Sterninae,NA,Chinese Crested Tern,Thalasseus bernsteini,Thalasseus,CR,Sterna bernsteini
CHARADRIIFORMES,Laridae,Sterninae,NA,Elegant Tern,Thalasseus elegans,Thalasseus,NT,Thalasseus elegans; Sterna elegans
CHARADRIIFORMES,Laridae,Sterninae,NA,Sandwich Tern,Thalasseus sandvicensis,Thalasseus,LC,Thalasseus sandvicensis; Sterna sandvicensis
CHARADRIIFORMES,Laridae,Sterninae,NA,Royal Tern,Thalasseus maximus,Thalasseus,LC,Thalasseus maximus; Sterna maxima
CHARADRIIFORMES,Laridae,Sterninae,NA,Greater Crested Tern,Thalasseus bergii,Thalasseus,LC,Thalasseus bergii; Sterna bergii
CHARADRIIFORMES,Stercorariidae,NA,NA,Long-tailed Jaeger,Stercorarius longicaudus,Stercorarius,LC,NA
CHARADRIIFORMES,Stercorariidae,NA,NA,Arctic Jaeger,Stercorarius parasiticus,Stercorarius,LC,NA
CHARADRIIFORMES,Stercorariidae,NA,NA,Pomarine Jaeger,Stercorarius pomarinus,Stercorarius,LC,NA
CHARADRIIFORMES,Stercorariidae,NA,NA,Great Skua,Catharacta skua,Catharacta,LC,Stercorarius skua
CHARADRIIFORMES,Stercorariidae,NA,NA,South Polar Skua,Catharacta maccormicki,Catharacta,LC,Stercorarius maccormicki
CHARADRIIFORMES,Stercorariidae,NA,NA,Brown Skua,Catharacta antarctica,Catharacta,LC,Catharacta lonnbergi; Stercorarius lonnbergi
CHARADRIIFORMES,Stercorariidae,NA,NA,Chilean Skua,Catharacta chilensis,Catharacta,LC,Stercorarius chilensis
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Rhinoceros Auklet,Cerorhinca monocerata,Cerorhinca,LC,NA
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Tufted Puffin,Fratercula cirrhata,Fratercula,LC,Lunda cirrhata
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Atlantic Puffin,Fratercula arctica,Fratercula,VU,NA
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Horned Puffin,Fratercula corniculata,Fratercula,LC,NA
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Cassin's Auklet,Ptychoramphus aleuticus,Ptychoramphus,NT,NA
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Parakeet Auklet,Aethia psittacula,Aethia,LC,Cyclorrhynchus psittacula
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Least Auklet,Aethia pusilla,Aethia,LC,NA
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Whiskered Auklet,Aethia pygmaea,Aethia,LC,NA
CHARADRIIFORMES,Alcidae,Aethiinae,NA,Crested Auklet,Aethia cristatella,Aethia,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Long-billed Murrelet,Brachyramphus perdix,Brachyramphus,NT,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Marbled Murrelet,Brachyramphus marmoratus,Brachyramphus,EN,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Kittlitz's Murrelet,Brachyramphus brevirostris,Brachyramphus,NT,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Black Guillemot,Cepphus grylle,Cepphus,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Pigeon Guillemot,Cepphus columba,Cepphus,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Spectacled Guillemot,Cepphus carbo,Cepphus,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Ancient Murrelet,Synthliboramphus antiquus,Synthliboramphus,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Japanese Murrelet,Synthliboramphus wumizusume,Synthliboramphus,VU,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Scripps's Murrelet,Synthliboramphus scrippsi,Synthliboramphus,VU,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Guadalupe Murrelet,Synthliboramphus hypoleucus,Synthliboramphus,EN,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Craveri's Murrelet,Synthliboramphus craveri,Synthliboramphus,VU,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Razorbill,Alca torda,Alca,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Great Auk,Pinguinus impennis,Pinguinus,EX,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Little Auk,Alle alle,Alle,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Thick-billed Murre,Uria lomvia,Uria,LC,NA
CHARADRIIFORMES,Alcidae,Alcinae,NA,Common Murre,Uria aalge,Uria,LC,NA
SPHENISCIFORMES,Spheniscidae,NA,NA,NA,Eudyptes filholi,Eudyptes,NR,NA
PROCELLARIIFORMES,Oceanitidae,NA,NA,NA,Pelagodroma albiclunis,Pelagodroma,NR,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,NA,Diomedea chlororhynchos,Diomedea,NR,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,NA,Diomedea melanophris,Diomedea,NR,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,NA,Diomedea cauta,Diomedea,NR,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,NA,Diomedea gibsoni,Diomedea,NR,NA
PROCELLARIIFORMES,Diomedeidae,NA,NA,NA,Thalassarche platei,Thalassarche,NR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,NA,Pterodroma occulta,Pterodroma,NR,NA
PROCELLARIIFORMES,Procellariidae,NA,NA,NA,Puffinus baroli,Puffinus,NR,NA
SULIFORMES,Sulidae,NA,NA,NA,Sula tasmani,Sula,NR,NA
SULIFORMES,Phalacrocoracidae,NA,NA,NA,Phalacrocorax atriceps,Phalacrocorax,NR,NA
SULIFORMES,Phalacrocoracidae,NA,NA,NA,Phalacrocorax georgianus,Phalacrocorax,NR,NA
SULIFORMES,Phalacrocoracidae,NA,NA,NA,Phalacrocorax bransfieldensis,Phalacrocorax,NR,NA
SULIFORMES,Phalacrocoracidae,NA,NA,NA,Phalacrocorax kenyoni,Phalacrocorax,NR,NA
CHARADRIIFORMES,Laridae,Anoinae,NA,NA,Procelsterna cerulea,Procelsterna,NR,NA
CHARADRIIFORMES,Laridae,Larinae,NA,NA,Larus heuglini,Larus,NR,NA
CHARADRIIFORMES,Laridae,Larinae,NA,NA,Larus barabensis,Larus,NR,NA
CHARADRIIFORMES,Laridae,Larinae,NA,NA,Larus vegae,Larus,NR,NA
CHARADRIIFORMES,Laridae,Larinae,NA,NA,Larus mongolicus,Larus,NR,NA
CHARADRIIFORMES,Laridae,Larinae,NA,NA,Larus scopulinus,Larus,NR,NA
CHARADRIIFORMES,Laridae,Larinae,NA,NA,Larus graellsii,Larus,NR,NA
CHARADRIIFORMES,Laridae,Larinae,NA,NA,Larus taimyrensis,Larus,NR,NA
CHARADRIIFORMES,Laridae,Larinae,NA,NA,Larus atlantis,Larus,NR,NA
CHARADRIIFORMES,Laridae,Larinae,NA,NA,Larus thayeri,Larus,NR,NA
CHARADRIIFORMES,Laridae,Sterninae,NA,NA,Sterna nilotica,Sterna,NR,NA
CHARADRIIFORMES,Stercorariidae,NA,NA,NA,Catharacta lonnbergi,Catharacta,NR,Stercorarius antarcticus; Stercorarius lonnbergi
